time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-10-11 16:48:44.828 UTC, ,4109,3837157,1752,686872,448, ,91, ,6022, , , , , , , , , ,91,7, , , ,36,82,6, ,28, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,51,59,153,59, ,59, , ,3,62, , , , ,1, , , , , , , , ,6061,59, , , , , , ,10,1433,2799436776,1, , , , , , ,2563, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,19, ,18, , ,2476,3488,22, , , , , , 
2019-10-11 16:49:44.829 UTC, ,4109,3841717,1752,691432,448, ,93, ,6723, , , , , , , , , ,93,7, , , ,37,83,6, ,32, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,61,94,211,94, ,94, , ,3,97, , , , ,1, , , , , , , , ,26416,94, , , , , , ,9,1172,2194844128, , , , , , , ,2896, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, ,48, , ,2770,3856,25, , , , , , 
2019-10-11 16:50:44.831 UTC, ,4109,3853717,1752,703432,448, ,93, ,8787, , , , , , , , , ,93,7, , , ,37,83,6, ,36, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,73,167,391,167, ,167, , ,3,170, , , , ,1, , , , , , , , ,21705,167, , , , , , ,9,1145,2665187024, , , , , , , ,3808, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,28, ,106, , ,3605,5027,33, , , , , , 
2019-10-11 16:51:44.832 UTC, ,4989,3870277,1752,719112,448, ,93, ,10349, , , , , , , , , ,93,7, , , ,36,83,6, ,251,100, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,100,269,230,954,230, ,230, , ,3,233, , , ,100,1,265,2,3454,2, , ,14703,98,46168,227, , , , , , ,13,1919,2853478832,1, , , , , , ,5062, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,134, ,150, ,204,4321,5798,44, , , , , , 
2019-10-11 16:52:44.918 UTC, ,4989,3873453,1752,722288,448, ,93, ,6033, , , , , , , , , ,93,7, , , ,36,83,6, ,29, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,64,79,222,79, ,79, , ,3,82, , , , ,1, , , , , , , , ,8593,79, , , , , , ,11,1405,2063073448,1, , , , , , ,2689, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,20, ,32, , ,2581,3375,27, , , , , , 
2019-10-11 16:53:44.919 UTC, ,4989,3873373,1752,722208,448, ,94, ,4823, , , , , , , , , ,94,7, , , ,37,83,7, ,25, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,3,73,111,73, ,73, , ,3,76, , , , ,1, , , , , , , , ,10400,73, , , , , , ,9,1163,2258961800,1, , , , , , ,2132, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16, ,36, , ,2034,2713,21, , , , , , 
2019-10-11 16:54:44.921 UTC, ,5429,3885429,1752,733824,448, ,95, ,9127, , , , , , , , , ,95,7, , , ,37,84,6, ,140,50, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,50,72,176,418,176, ,176, , ,3,179, , , ,50,1,132,1,1727,1, , ,8520,49,37140,175, , , , , , ,8,1001,2653043760,1, , , , , , ,4221, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,80, ,102, ,102,3798,5165,43, , , , , , 
2019-10-11 16:55:44.923 UTC, ,5869,3888301,1752,736256,448, ,94, ,13211, , , , , , , , , ,94,7, , , ,36,83,6, ,158,50, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,50,68,151,411,151, ,151, , ,3,154, , , ,50,1,193,1,1727,1, , ,8567,49,18570,150, , , , , , ,9,1113,2887020872,1, , , , , , ,5908, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,94, ,58, ,102,5500,7573,48, , , , , , 
2019-10-11 16:56:44.924 UTC, ,5869,3891253,1752,739208,448, ,95, ,11457, , , , , , , , , ,95,7, , , ,36,84,6, ,48, , , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , , ,77,138,368,138, ,138, , ,3,141, , , , ,1, , , , , , , , ,27953,138, , , , , , ,7,821,2895191088, , , , , , , ,4997, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,36, ,64, , ,4811,6519,38, , , , , , 
2019-10-11 16:57:44.926 UTC, ,7629,3973197,1752,819392,448, ,100, ,43038, , , , , , , , , ,100,7, , , ,37,87,6, ,558,200, , , , , , , , , , , , , ,2100581,2,1883435,1883435, , , , , ,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1570812078384, , , , ,3145728, , , ,200,115,1005,2709,1005, ,1005, , ,3,1008, , , ,200,1,603,4,7056,6, , ,31295,196,190539,997, , , , , , ,12,1326,2115960944, , , , , , , ,19759, , , ,2, ,1, , , , , , , , , , , , , , , , , , , , , , ,337, ,688, ,408,17548,24581,176, , , , , , 
